candle_end_time,open,high,low,close,amount,info
2006-05-26,1296.99,1317.06,1295.52,1317.06,67907706.03,{}
2006-05-29,1324.99,1350.39,1316.44,1350.39,79772239.71,{}
2006-05-30,1357.45,1368.53,1349.62,1367.01,83532319.21,{}
2006-05-31,1366.04,1377.62,1350.20,1357.20,91160257.26,{}
2006-06-01,1356.84,1400.12,1356.84,1400.12,105309903.87,{}
2006-06-02,1405.00,1411.83,1385.35,1393.17,121985523.20,{}
2006-06-05,1395.17,1411.26,1372.81,1411.26,101481381.38,{}
2006-06-06,1409.73,1417.47,1400.61,1404.10,87044524.08,{}
2006-06-07,1405.03,1405.03,1319.77,1319.87,97333916.94,{}
2006-06-08,1307.94,1324.77,1283.11,1323.72,84095838.50,{}
2006-06-09,1318.62,1329.18,1292.16,1292.89,73587228.06,{}
2006-06-12,1283.83,1306.20,1283.53,1297.11,48329754.29,{}
2006-06-13,1296.96,1312.52,1287.16,1300.82,51426590.16,{}
2006-06-14,1293.71,1293.71,1275.52,1288.30,51195940.22,{}
2006-06-15,1288.27,1304.32,1287.90,1290.97,45151033.94,{}
2006-06-16,1300.63,1322.03,1300.63,1322.03,54128832.97,{}
2006-06-19,1310.88,1345.13,1310.88,1338.51,58244518.27,{}
2006-06-20,1337.41,1346.70,1331.30,1346.37,56050087.64,{}
2006-06-21,1346.34,1356.18,1331.86,1342.82,63682430.73,{}
2006-06-22,1341.10,1346.74,1336.04,1341.74,52883808.69,{}
2006-06-23,1339.37,1353.01,1331.98,1353.01,52717218.20,{}
2006-06-26,1355.51,1377.42,1355.51,1377.42,60281871.94,{}
2006-06-27,1379.96,1381.08,1370.95,1380.59,57170155.67,{}
2006-06-28,1378.89,1382.93,1371.16,1379.24,52992539.04,{}
2006-06-29,1381.61,1408.86,1381.61,1408.86,80897043.13,{}
2006-06-30,1415.79,1419.75,1398.26,1407.40,76443625.64,{}
2006-07-03,1411.65,1432.89,1408.33,1432.89,74825867.53,{}
2006-07-04,1435.54,1438.39,1415.07,1424.43,82746672.82,{}
2006-07-05,1423.84,1423.84,1394.44,1409.36,64650927.65,{}
2006-07-06,1408.75,1440.55,1408.75,1440.55,69517564.46,{}
2006-07-07,1445.83,1446.22,1434.91,1436.17,70876687.98,{}
2006-07-10,1437.00,1442.31,1425.87,1441.26,58702291.85,{}
2006-07-11,1443.12,1450.38,1436.26,1450.38,61695384.60,{}
2006-07-12,1451.71,1463.44,1449.19,1450.81,75373661.18,{}
2006-07-13,1447.49,1447.49,1367.74,1367.74,101467857.88,{}
2006-07-14,1354.37,1388.76,1354.37,1379.30,64546550.55,{}
2006-07-17,1377.22,1398.20,1377.01,1398.20,50911021.18,{}
2006-07-18,1397.15,1403.13,1386.99,1403.13,50060953.20,{}
2006-07-19,1400.09,1400.09,1361.67,1368.22,53427763.48,{}
2006-07-20,1366.73,1378.89,1359.75,1377.60,42987155.20,{}
2006-07-21,1376.60,1388.33,1376.60,1386.99,43619126.38,{}
2006-07-24,1365.96,1389.35,1365.96,1389.30,44336325.59,{}
2006-07-25,1395.06,1411.37,1395.06,1407.40,49593346.40,{}
2006-07-26,1410.67,1413.27,1401.93,1408.12,46718546.13,{}
2006-07-27,1407.54,1413.50,1382.37,1392.13,52426333.25,{}
2006-07-28,1391.30,1395.67,1363.76,1378.40,49382498.57,{}
2006-07-31,1374.56,1374.56,1325.47,1325.83,48156298.04,{}
2006-08-01,1324.19,1332.26,1308.19,1311.86,38123297.22,{}
2006-08-02,1311.66,1316.05,1285.55,1304.13,36644765.52,{}
2006-08-03,1306.02,1310.97,1292.79,1301.54,28754996.97,{}
2006-08-04,1302.01,1307.49,1264.80,1266.03,35610670.69,{}
2006-08-07,1260.47,1262.28,1240.96,1242.80,33293299.93,{}
2006-08-08,1242.93,1275.23,1242.93,1275.23,32880591.13,{}
2006-08-09,1276.60,1281.66,1268.39,1275.37,30867215.29,{}
2006-08-10,1275.31,1296.62,1275.31,1296.62,36197569.09,{}
2006-08-11,1297.69,1303.59,1291.70,1301.55,33677842.44,{}
2006-08-14,1301.46,1304.21,1264.65,1267.95,35881856.98,{}
2006-08-15,1266.26,1290.05,1260.74,1290.05,29659196.45,{}
2006-08-16,1290.74,1309.52,1286.35,1309.52,40700187.71,{}
2006-08-17,1309.14,1309.14,1289.10,1298.82,34143658.30,{}
2006-08-18,1296.83,1306.24,1291.97,1293.08,29678423.80,{}
2006-08-21,1256.67,1297.69,1256.67,1297.69,32636696.68,{}
2006-08-22,1297.10,1315.97,1296.23,1312.37,37429103.18,{}
2006-08-23,1312.54,1319.99,1308.23,1310.94,38746831.34,{}
2006-08-24,1311.08,1319.54,1300.01,1319.54,33735936.43,{}
2006-08-25,1320.62,1329.35,1319.47,1322.96,39757512.26,{}
2006-08-28,1326.46,1354.91,1326.46,1354.91,54205510.58,{}
2006-08-29,1357.72,1378.36,1356.23,1358.07,67340751.36,{}
2006-08-30,1355.74,1365.77,1351.40,1365.28,45000376.60,{}
2006-08-31,1366.41,1373.20,1362.86,1371.83,50598744.86,{}
2006-09-01,1369.11,1371.55,1347.59,1348.84,51901555.28,{}
2006-09-04,1351.65,1371.84,1351.65,1371.84,45711839.12,{}
2006-09-05,1371.83,1379.47,1368.70,1375.52,54854222.74,{}
2006-09-06,1376.69,1381.86,1365.68,1381.86,49101425.02,{}
2006-09-07,1377.19,1378.44,1359.15,1362.17,43387045.90,{}
2006-09-08,1361.31,1368.68,1360.50,1365.23,35120361.69,{}
2006-09-11,1368.62,1372.31,1352.21,1372.31,41974855.80,{}
2006-09-12,1372.37,1381.15,1371.09,1379.21,47171894.48,{}
2006-09-13,1380.43,1383.38,1365.78,1366.10,53060068.38,{}
2006-09-14,1365.60,1369.78,1352.80,1366.49,44763831.09,{}
2006-09-15,1366.45,1387.22,1366.45,1387.22,56202129.16,{}
2006-09-18,1391.68,1403.60,1389.51,1403.60,56085280.56,{}
2006-09-19,1406.45,1412.12,1399.35,1407.46,55231182.16,{}
